"All Caps", "Occurrences", "Initials", "Occurrences", "Lowercases", "Occurrences"
"", "", "MBLÉ", "1", "jard", "7"
"", "", "Meil", "1", "list", "7"
"", "", "Méni", "1", "mari", "7"
"", "", "Merl", "1", "mieu", "7"
"", "", "Mexi", "1", "muni", "7"
"", "", "Mond", "1", "ndis", "7"
"", "", "Myia", "1", "neme", "7"
"", "", "Napo", "1", "ntie", "7"
"", "", "Natu", "1", "obli", "7"
"", "", "Néno", "1", "para", "7"
"", "", "Neve", "1", "peut", "7"
"", "", "Noël", "1", "poin", "7"
"", "", "Notr", "1", "préf", "7"
"", "", "Nouv", "1", "ptio", "7"
"", "", "Parc", "1", "reli", "7"
"", "", "Parf", "1", "rell", "7"
"", "", "Pate", "1", "renc", "7"
"", "", "Peac", "1", "rése", "7"
"", "", "Pers", "1", "réun", "7"
"", "", "Peti", "1", "reve", "7"
"", "", "Peup", "1", "rmai", "7"
"", "", "Plai", "1", "ront", "7"
"", "", "Plaz", "1", "sati", "7"
"", "", "Plut", "1", "sign", "7"
"", "", "Port", "1", "tiqu", "7"
"", "", "Pott", "1", "titu", "7"
"", "", "Prag", "1", "tori", "7"
"", "", "Pren", "1", "tran", "7"
"", "", "Proz", "1", "tuel", "7"
"", "", "Prud", "1", "unan", "7"
"", "", "Quan", "1", "vent", "7"
"", "", "Quér", "1", "acte", "6"
"", "", "Quic", "1", "affa", "6"
"", "", "Rect", "1", "aiss", "6"
"", "", "Redl", "1", "ajou", "6"
"", "", "RÉÉL", "1", "ales", "6"
"", "", "Réfo", "1", "amér", "6"
"", "", "Régn", "1", "anti", "6"
"", "", "Répo", "1", "arro", "6"
"", "", "Repr", "1", "asso", "6"
"", "", "Réus", "1", "aujo", "6"
"", "", "Rien", "1", "avio", "6"
"", "", "Rigo", "1", "bles", "6"
"", "", "Roch", "1", "bure", "6"
"", "", "Roug", "1", "cepe", "6"
"", "", "Rude", "1", "cert", "6"
"", "", "Sara", "1", "chan", "6"
"", "", "Scep", "1", "chef", "6"
"", "", "Schn", "1", "conq", "6"
"", "", "SÉAN", "1", "déci", "6"
"", "", "Sein", "1", "déco", "6"
"", "", "Sept", "1", "deve", "6"
"", "", "Seul", "1", "écla", "6"
"", "", "Sèvr", "1", "empê", "6"
"", "", "Simo", "1", "endr", "6"
"", "", "Solv", "1", "enfa", "6"
"", "", "Suis", "1", "épre", "6"
"", "", "Supé", "1", "erge", "6"
"", "", "Supp", "1", "esti", "6"
"", "", "Suze", "1", "êtes", "6"
"", "", "Tabl", "1", "faib", "6"
"", "", "Tézé", "1", "fidè", "6"
"", "", "Théâ", "1", "fond", "6"
"", "", "Thie", "1", "form", "6"
"", "", "Thra", "1", "geoi", "6"
"", "", "Thwi", "1", "ices", "6"
"", "", "Torr", "1", "icul", "6"
"", "", "Très", "1", "idée", "6"
"", "", "Tuff", "1", "idér", "6"
"", "", "Turc", "1", "ific", "6"
"", "", "Util", "1", "ifié", "6"
"", "", "Vent", "1", "igne", "6"
"", "", "Verm", "1", "lant", "6"
"", "", "Vers", "1", "lati", "6"
"", "", "Veuv", "1", "libe", "6"
"", "", "Vibr", "1", "llen", "6"
"", "", "Vois", "1", "magn", "6"
"", "", "Voye", "1", "majo", "6"
"", "", "Wash", "1", "meil", "6"
"", "", "Wear", "1", "mman", "6"
"", "", "Wilb", "1", "mmen", "6"
"", "", "Will", "1", "naux", "6"
"", "", "Wrig", "1", "ntai", "6"
"", "", "Zéla", "1", "oire", "6"
"", "", "", "", "ouve", "6"
"", "", "", "", "ouvr", "6"
"", "", "", "", "pati", "6"
"", "", "", "", "péen", "6"
"", "", "", "", "plac", "6"
"", "", "", "", "plan", "6"
"", "", "", "", "prix", "6"
"", "", "", "", "prog", "6"
"", "", "", "", "rais", "6"
"", "", "", "", "réél", "6"
"", "", "", "", "régi", "6"
"", "", "", "", "rent", "6"
"", "", "", "", "répa", "6"
"", "", "", "", "rési", "6"
"", "", "", "", "ress", "6"
"", "", "", "", "retr", "6"
"", "", "", "", "sacr", "6"
"", "", "", "", "salo", "6"
"", "", "", "", "save", "6"
"", "", "", "", "sens", "6"
"", "", "", "", "soul", "6"
"", "", "", "", "soum", "6"
"", "", "", "", "spéc", "6"
"", "", "", "", "stan", "6"
"", "", "", "", "stes", "6"
"", "", "", "", "tard", "6"
"", "", "", "", "tenb", "6"
"", "", "", "", "tent", "6"
"", "", "", "", "touc", "6"
"", "", "", "", "trom", "6"
"", "", "", "", "veil", "6"
"", "", "", "", "vers", "6"
"", "", "", "", "vill", "6"
"", "", "", "", "voil", "6"
"", "", "", "", "voya", "6"
"", "", "", "", "aban", "5"
"", "", "", "", "adre", "5"
"", "", "", "", "allé", "5"
"", "", "", "", "angl", "5"
"", "", "", "", "anné", "5"
"", "", "", "", "appa", "5"
"", "", "", "", "appu", "5"
"", "", "", "", "arch", "5"
"", "", "", "", "arrê", "5"
"", "", "", "", "beso", "5"
"", "", "", "", "chac", "5"
"", "", "", "", "chaq", "5"
"", "", "", "", "cord", "5"
"", "", "", "", "côté", "5"
"", "", "", "", "cris", "5"
"", "", "", "", "dent", "5"
"", "", "", "", "déte", "5"
"", "", "", "", "disp", "5"
"", "", "", "", "doit", "5"
"", "", "", "", "dout", "5"
"", "", "", "", "eaux", "5"
"", "", "", "", "ecti", "5"
"", "", "", "", "effe", "5"
"", "", "", "", "enfi", "5"
