"All Caps", "Occurrences", "Initials", "Occurrences", "Lowercases", "Occurrences"
"KEBE", "2", "Kais", "4", "appe", "41"
"REYS", "2", "Paci", "4", "prix", "41"
"POLI", "2", "Chin", "4", "fils", "41"
"TIQU", "2", "Aust", "4", "mmen", "41"
"SUGG", "2", "Deux", "4", "envo", "41"
"ESTI", "2", "Will", "3", "opin", "41"
"UNIO", "2", "Trop", "3", "prog", "40"
"TOUT", "2", "Barb", "3", "abor", "40"
"RALL", "2", "Croy", "3", "reto", "40"
"HOLT", "2", "MÉRI", "3", "sais", "40"
"LANG", "2", "Grav", "3", "savo", "40"
"PRIS", "2", "CRÉA", "3", "fami", "40"
"ANGL", "2", "Marn", "3", "mbre", "40"
"APRE", "2", "Cont", "3", "dout", "40"
"GARE", "2", "Parm", "3", "défe", "40"
"GIGA", "2", "Lamm", "3", "ents", "40"
"NTES", "2", "Vote", "3", "nisa", "39"
"HOPI", "2", "Lill", "3", "agne", "39"
"ALLI", "2", "Ajou", "3", "enfi", "39"
"ADRE", "2", "Gard", "3", "habi", "39"
"INSP", "2", "Vice", "3", "onal", "39"
"ACAD", "2", "Amir", "3", "stre", "39"
"BIEN", "2", "Mari", "3", "ires", "39"
"PORT", "2", "Facu", "3", "fort", "39"
"RALI", "2", "MBLÉ", "3", "cien", "39"
"SANG", "2", "Excu", "3", "mort", "38"
"BELG", "2", "PRÉV", "3", "sauv", "38"
"OUKO", "2", "Mati", "3", "sort", "38"
"MBRE", "2", "Manu", "3", "péen", "38"
"EURO", "2", "Henr", "3", "itio", "38"
"OEUV", "2", "Marc", "3", "ruin", "38"
"CONV", "2", "Shar", "3", "hain", "38"
"ENTI", "2", "Bria", "3", "teme", "38"
"ITIO", "2", "Hami", "3", "loin", "38"
"DUPL", "2", "Foer", "3", "angl", "38"
"TOTA", "2", "Peti", "3", "semb", "38"
"BERU", "2", "Temp", "3", "reux", "38"
"BOUS", "2", "Pres", "3", "rnat", "37"
"SARI", "2", "Roug", "3", "prod", "37"
"LEPE", "2", "Ribo", "3", "chos", "37"
"CHEU", "2", "Amer", "3", "sero", "37"
"PREN", "2", "Joff", "3", "arti", "37"
"GARD", "2", "Rapp", "3", "ific", "37"
"TIER", "2", "Sang", "3", "répu", "37"
"HYLA", "2", "Loin", "3", "essi", "37"
"SARR", "2", "Touj", "3", "beso", "36"
"CAST", "2", "Emil", "3", "priv", "36"
"GRAN", "2", "Ruil", "3", "inco", "36"
"LAST", "2", "Balf", "3", "deve", "36"
"ORLA", "2", "Mali", "3", "souv", "36"
"ILLU", "2", "Noye", "3", "impr", "36"
"VIVI", "2", "Loué", "3", "vivr", "36"
"HERR", "2", "Dîne", "3", "hier", "36"
"NIER", "2", "Lund", "3", "sold", "36"
"BUIS", "2", "Ceux", "3", "embr", "36"
"GIRE", "2", "Beet", "3", "atta", "36"
"ROOS", "2", "Supp", "3", "essa", "36"
"EVEL", "2", "Cher", "3", "plac", "36"
"RELI", "2", "Sein", "3", "faud", "36"
"GION", "2", "Ferd", "3", "décl", "36"
"HUMA", "2", "Extr", "3", "join", "36"
"ANDR", "2", "Maro", "3", "crat", "36"
"VAIN", "2", "Ball", "3", "détr", "36"
"ARME", "2", "Manc", "3", "viol", "36"
"OMIQ", "2", "Vill", "3", "enne", "36"
"SENS", "2", "Cana", "3", "rair", "35"
"PATR", "2", "Aout", "3", "tent", "35"
"LAMM", "2", "Orga", "3", "avez", "35"
"ASCH", "2", "Gust", "3", "déci", "35"
"JOHN", "2", "Cauv", "3", "mari", "35"
"DEST", "1", "Root", "3", "endr", "35"
"OURN", "1", "Foul", "3", "rout", "35"
"FOIS", "1", "Mexi", "3", "caus", "35"
"MOIN", "1", "Taft", "3", "alli", "35"
"NAIS", "1", "Ange", "3", "anci", "35"
"DECE", "1", "Chat", "3", "mome", "35"
"COLU", "1", "Laro", "3", "eaux", "35"
"MBIA", "1", "Lyon", "3", "mati", "35"
"FOCH", "1", "Havr", "3", "nses", "34"
"PLOU", "1", "Vain", "3", "mobi", "34"
"PICH", "1", "Seco", "3", "rabl", "34"
"MONI", "1", "Kron", "3", "malh", "34"
"GRAV", "1", "Forc", "3", "lutt", "34"
"BIBL", "1", "Lapr", "3", "ribu", "34"
"IOTH", "1", "Gabr", "3", "prin", "34"
"REIM", "1", "Jord", "3", "dési", "34"
"SYMP", "1", "Louv", "3", "cess", "34"
"TOME", "1", "Nais", "3", "geoi", "34"
"JUST", "1", "Décè", "3", "réac", "34"
"CORR", "1", "Bois", "3", "disa", "34"
"ESPO", "1", "Tour", "2", "ille", "34"
"NORT", "1", "Bouf", "2", "crim", "34"
"HCLI", "1", "Myro", "2", "seme", "34"
"ZEPP", "1", "Fini", "2", "rent", "34"
"ELIN", "1", "Régi", "2", "lité", "34"
"SSIT", "1", "Libé", "2", "haut", "33"
"AVEC", "1", "Sali", "2", "iona", "33"
"ESPR", "1", "Fish", "2", "eure", "33"
"UETE", "1", "Egyp", "2", "manq", "33"
"GAIE", "1", "Afin", "2", "ines", "33"
"ORIG", "1", "Knox", "2", "rése", "33"
"EFFE", "1", "Légi", "2", "bili", "33"
"NELL", "1", "NÉCE", "2", "œuvr", "33"
"CAUS", "1", "Voeu", "2", "perm", "33"
"FURE", "1", "Jame", "2", "cier", "33"
"RVIS", "1", "Alba", "2", "rtem", "33"
"SEME", "1", "Allo", "2", "tien", "33"
"ABOR", "1", "RÉCE", "2", "aise", "33"
"IGNO", "1", "Fait", "2", "trio", "33"
"RANC", "1", "Défe", "2", "ices", "33"
"INOR", "1", "Mili", "2", "rray", "33"
"GANI", "1", "Trav", "2", "mesu", "33"
"ENSU", "1", "Malb", "2", "doit", "33"
"DOUL", "1", "Quai", "2", "rapp", "32"
"OURE", "1", "Orsa", "2", "aire", "32"
"TENA", "1", "Anci", "2", "lend", "32"
"RUIR", "1", "Acad", "2", "tabl", "32"
"OTWE", "1", "Norm", "2", "seco", "32"
"ALSA", "1", "Doye", "2", "ferm", "32"
"LORR", "1", "Doll", "2", "rela", "32"
"AINE", "1", "Ypre", "2", "rell", "32"
"MURR", "1", "DÉFE", "2", "cinq", "32"
"INCE", "1", "ARMÉ", "2", "issi", "32"
"SANT", "1", "Whee", "2", "ssib", "32"
"SOLD", "1", "RÉDA", "2", "révo", "32"
"PHOT", "1", "VOTÉ", "2", "soci", "32"
"INGR", "1", "RÉSU", "2", "domi", "32"
"ATIT", "1", "LÉGE", "2", "voil", "32"
"ENVA", "1", "Prog", "2", "état", "31"
"HIES", "1", "Bell", "2", "pein", "31"
"LUXE", "1", "Seda", "2", "ordr", "31"
"MBOU", "1", "Ques", "2", "prot", "31"
"ITEN", "1", "Camb", "2", "côté", "31"
"ALIS", "1", "Mosc", "2", "tenu", "31"
"KERT", "1", "Kere", "2", "paci", "31"
"REIC", "1", "Délé", "2", "sait", "31"
"HSTA", "1", "Macé", "2", "rali", "31"
"LECT", "1", "DÉCL", "2", "exce", "31"
"FROM", "1", "CARÉ", "2", "huma", "31"
"AGEO", "1", "Tard", "2", "gard", "31"
"ROUS", "1", "VÉRI", "2", "emai", "30"
"SILL", "1", "Radi", "2", "plei", "30"
"CLAU", "1", "Info", "2", "simp", "30"
"BRUX", "1", "Miss", "2", "mieu", "30"
"DICK", "1", "Dema", "2", "inue", "30"
"INSO", "1", "Malv", "2", "visi", "30"
"COST", "1", "Pain", "2", "form", "30"
"LAVI", "1", "Thom", "2", "chem", "30"
"MOBI", "1", "Semb", "2", "erse", "30"
"QUES", "1", "Magi", "2", "ptio", "30"
"FICI", "1", "Vivi", "2", "idée", "30"
"CHIE", "1", "Préf", "2", "appl", "30"
"SALL", "1", "Revi", "2", "ants", "30"
"WAGR", "1", "VITÉ", "2", "civi", "30"
"NOLL", "1", "Fléc", "2", "ense", "30"
"INCL", "1", "Réun", "2", "ette", "29"
"ACHE", "1", "Gire", "2", "vent", "29"
"UTIF", "1", "Olan", "2", "étab", "29"
"RESO", "1", "Vand", "2", "rési", "29"
"TEES", "1", "Grey", "2", "deui", "29"
"CHAD", "1", "PÉEN", "2", "actu", "29"
"WICK", "1", "Héla", "2", "aucu", "29"
"BONN", "1", "Reym", "2", "ouvr", "29"
"TOMB", "1", "Mard", "2", "souf", "29"
"FIAS", "1", "Bess", "2", "univ", "29"
"ARRI", "1", "Vaas", "2", "mphe", "29"
"TROP", "1", "Aubi", "2", "yeux", "29"
"CEPE", "1", "DÉPU", "2", "déco", "29"
"FUTU", "1", "Delc", "2", "rich", "29"
"ARIS", "1", "Peup", "2", "revi", "29"
"WHEE", "1", "Ruys", "2", "fond", "29"
"BERK", "1", "Duma", "2", "ouve", "29"
"TAIR", "1", "Veui", "2", "tomb", "29"
"DISA", "1", "Vers", "2", "arme", "29"
"NISM", "1", "Maig", "2", "ince", "29"
"MANI", "1", "Conl", "2", "cepe", "28"
"FEST", "1", "Tuff", "2", "supp", "28"
"DIVE", "1", "Peut", "2", "eill", "28"
"RSES", "1", "Rive", "2", "nist", "28"
"GIDE", "1", "Gauc", "2", "ndai", "28"
"LIMA", "1", "Kant", "2", "tell", "28"
"MANZ", "1", "Goet", "2", "ltat", "28"
"ANIL", "1", "Vosg", "2", "nair", "28"
"ALVA", "1", "Atla", "2", "patr", "28"
"CALD", "1", "Ponc", "2", "parm", "28"
"ERON", "1", "Pila", "2", "quat", "28"
"LIZA", "1", "Suiv", "2", "assu", "28"
"ALZA", "1", "Gesn", "2", "luti", "28"
"BARR", "1", "Alen", "2", "oubl", "28"
"BELA", "1", "Pate", "2", "egie", "27"
"UNDE", "1", "Banq", "2", "mode", "27"
"CORN", "1", "Mano", "2", "marc", "27"
"PRAD", "1", "Augu", "2", "surv", "27"
"UGAR", "1", "Norv", "2", "cult", "27"
"TECH", "1", "Cott", "2", "surt", "27"
"RONI", "1", "Aill", "2", "déli", "27"
"ULLO", "1", "Roue", "2", "ntie", "27"
"ARAN", "1", "Nant", "2", "anne", "27"
"AGAR", "1", "Pala", "2", "ifie", "27"
"BAUT", "1", "Véri", "2", "rité", "27"
"ISTA", "1", "Arch", "2", "mora", "27"
"LAVA", "1", "Udin", "2", "écon", "27"
"GREC", "1", "Perc", "2", "reve", "27"
"ABDI", "1", "Cong", "2", "nche", "27"
"CATI", "1", "Roch", "2", "appa", "27"
"TZAR", "1", "Hélè", "2", "devr", "27"
"OVER", "1", "Ecos", "2", "sien", "27"
"TARY", "1", "Brés", "2", "outr", "27"
"CRAC", "1", "Chau", "2", "sang", "27"
"MUST", "1", "Soye", "2", "fall", "27"
"UNIT", "1", "Heur", "2", "urag", "26"
"BUIL", "1", "Stra", "2", "ajou", "26"
"RATU", "1", "John", "2", "déso", "26"
"LATI", "1", "Finc", "2", "ourc", "26"
"UPON", "1", "Entr", "2", "dest", "26"
"FREE", "1", "Myst", "2", "tard", "26"
"BETT", "1", "Anti", "2", "blic", "26"
"WORL", "1", "Terr", "2", "repo", "26"
"REUN", "1", "Benj", "2", "ranc", "26"
"PREM", "1", "Prus", "2", "expl", "26"
"SEAN", "1", "Trou", "2", "impé", "26"
"LEON", "1", "Finl", "2", "iard", "26"
"SSOC", "1", "Vend", "2", "conq", "26"
"IATI", "1", "Turq", "2", "onna", "26"
"HONN", "1", "Font", "2", "arat", "26"
"CARD", "1", "Merc", "2", "vité", "25"
"INAL", "1", "Bres", "2", "issa", "25"
"LACR", "1", "Ducs", "2", "bell", "25"
"UDEL", "1", "Marq", "2", "voud", "25"
"LAVE", "1", "Made", "2", "enta", "25"
"PREV", "1", "Ente", "2", "surp", "25"
"NOMB", "1", "Tran", "2", "débu", "25"
"REUX", "1", "Lais", "2", "mani", "25"
"VOUS", "1", "Croi", "2", "livr", "25"
"PRIE", "1", "Voir", "2", "lieu", "25"
"REME", "1", "Dogg", "2", "assi", "25"
"RCIE", "1", "Bank", "2", "irré", "25"
"CORD", "1", "Pont", "2", "situ", "25"
"PREC", "1", "Nobe", "2", "erre", "25"
"IEUS", "1", "NITÉ", "2", "fina", "25"
"ASSI", "1", "Chic", "2", "nité", "25"
"STAN", "1", "Grèc", "2", "rava", "25"
"FOND", "1", "Somm", "2", "dang", "25"
"MUTU", "1", "Pass", "2", "obli", "24"
"AUGU", "1", "Pyrr", "2", "suit", "24"
"AVEN", "1", "Sino", "2", "rece", "24"
"ANTO", "1", "Seul", "2", "éque", "24"
"NIAD", "1", "Weis", "2", "affa", "24"
"DIFF", "1", "Mobi", "2", "pare", "24"
"ICUL", "1", "Pens", "2", "éduc", "24"
"ERGU", "1", "Sibé", "2", "vend", "24"
"PETR", "1", "Maye", "2", "ache", "24"
"TIEL", "1", "Puec", "2", "circ", "24"
"STAT", "1", "Voul", "2", "nôtr", "24"
