"All Caps", "Occurrences", "Initials", "Occurrences", "Lowercases", "Occurrences"
"", "", "", "", "déb", "3"
"", "", "", "", "dès", "3"
"", "", "", "", "dno", "3"
"", "", "", "", "duc", "3"
"", "", "", "", "dur", "3"
"", "", "", "", "édu", "3"
"", "", "", "", "éle", "3"
"", "", "", "", "éme", "3"
"", "", "", "", "eni", "3"
"", "", "", "", "épr", "3"
"", "", "", "", "erd", "3"
"", "", "", "", "ére", "3"
"", "", "", "", "éro", "3"
"", "", "", "", "ert", "3"
"", "", "", "", "eux", "3"
"", "", "", "", "fam", "3"
"", "", "", "", "fid", "3"
"", "", "", "", "fro", "3"
"", "", "", "", "fut", "3"
"", "", "", "", "gea", "3"
"", "", "", "", "gén", "3"
"", "", "", "", "gev", "3"
"", "", "", "", "grâ", "3"
"", "", "", "", "gré", "3"
"", "", "", "", "gto", "3"
"", "", "", "", "hau", "3"
"", "", "", "", "hin", "3"
"", "", "", "", "hon", "3"
"", "", "", "", "ich", "3"
"", "", "", "", "iét", "3"
"", "", "", "", "ieu", "3"
"", "", "", "", "iff", "3"
"", "", "", "", "ige", "3"
"", "", "", "", "ile", "3"
"", "", "", "", "ili", "3"
"", "", "", "", "inn", "3"
"", "", "", "", "irm", "3"
"", "", "", "", "isf", "3"
"", "", "", "", "iss", "3"
"", "", "", "", "iti", "3"
"", "", "", "", "jug", "3"
"", "", "", "", "lab", "3"
"", "", "", "", "liq", "3"
"", "", "", "", "mas", "3"
"", "", "", "", "mat", "3"
"", "", "", "", "mèn", "3"
"", "", "", "", "moy", "3"
"", "", "", "", "nag", "3"
"", "", "", "", "nci", "3"
"", "", "", "", "ndo", "3"
"", "", "", "", "néc", "3"
"", "", "", "", "nis", "3"
"", "", "", "", "nna", "3"
"", "", "", "", "nul", "3"
"", "", "", "", "obl", "3"
"", "", "", "", "oin", "3"
"", "", "", "", "ois", "3"
"", "", "", "", "omp", "3"
"", "", "", "", "opp", "3"
"", "", "", "", "pab", "3"
"", "", "", "", "pac", "3"
"", "", "", "", "pir", "3"
"", "", "", "", "pli", "3"
"", "", "", "", "prè", "3"
"", "", "", "", "rab", "3"
"", "", "", "", "rag", "3"
"", "", "", "", "rce", "3"
"", "", "", "", "rea", "3"
"", "", "", "", "rég", "3"
"", "", "", "", "rét", "3"
"", "", "", "", "rif", "3"
"", "", "", "", "rir", "3"
"", "", "", "", "sau", "3"
"", "", "", "", "sec", "3"
"", "", "", "", "sei", "3"
"", "", "", "", "séq", "3"
"", "", "", "", "sér", "3"
"", "", "", "", "sib", "3"
"", "", "", "", "sin", "3"
"", "", "", "", "sle", "3"
"", "", "", "", "squ", "3"
"", "", "", "", "ssé", "3"
"", "", "", "", "sys", "3"
"", "", "", "", "the", "3"
"", "", "", "", "tic", "3"
"", "", "", "", "tid", "3"
"", "", "", "", "til", "3"
"", "", "", "", "tim", "3"
"", "", "", "", "uat", "3"
"", "", "", "", "ugh", "3"
"", "", "", "", "uir", "3"
"", "", "", "", "ult", "3"
"", "", "", "", "urd", "3"
"", "", "", "", "use", "3"
"", "", "", "", "uté", "3"
"", "", "", "", "vel", "3"
"", "", "", "", "vét", "3"
"", "", "", "", "vir", "3"
"", "", "", "", "vis", "3"
"", "", "", "", "von", "3"
"", "", "", "", "yai", "3"
"", "", "", "", "abo", "2"
"", "", "", "", "acé", "2"
"", "", "", "", "aid", "2"
"", "", "", "", "ail", "2"
"", "", "", "", "aim", "2"
"", "", "", "", "aît", "2"
"", "", "", "", "amb", "2"
"", "", "", "", "amé", "2"
"", "", "", "", "ana", "2"
"", "", "", "", "ano", "2"
"", "", "", "", "ape", "2"
"", "", "", "", "api", "2"
"", "", "", "", "are", "2"
"", "", "", "", "arg", "2"
"", "", "", "", "arq", "2"
"", "", "", "", "auc", "2"
"", "", "", "", "aya", "2"
"", "", "", "", "bas", "2"
"", "", "", "", "bel", "2"
"", "", "", "", "ber", "2"
"", "", "", "", "bla", "2"
"", "", "", "", "bou", "2"
"", "", "", "", "bro", "2"
"", "", "", "", "bué", "2"
"", "", "", "", "bun", "2"
"", "", "", "", "cab", "2"
"", "", "", "", "cal", "2"
"", "", "", "", "cap", "2"
"", "", "", "", "cem", "2"
"", "", "", "", "cen", "2"
"", "", "", "", "cér", "2"
"", "", "", "", "cès", "2"
"", "", "", "", "cie", "2"
"", "", "", "", "cil", "2"
"", "", "", "", "cim", "2"
"", "", "", "", "coû", "2"
"", "", "", "", "cra", "2"
"", "", "", "", "cte", "2"
"", "", "", "", "cui", "2"
"", "", "", "", "cul", "2"
"", "", "", "", "cur", "2"
"", "", "", "", "cus", "2"
"", "", "", "", "dam", "2"
"", "", "", "", "dav", "2"
"", "", "", "", "dén", "2"
"", "", "", "", "dér", "2"
"", "", "", "", "dét", "2"
"", "", "", "", "die", "2"
"", "", "", "", "dif", "2"
"", "", "", "", "diq", "2"
"", "", "", "", "dix", "2"
"", "", "", "", "doi", "2"
"", "", "", "", "dom", "2"
"", "", "", "", "dui", "2"
"", "", "", "", "dus", "2"
"", "", "", "", "ébr", "2"
"", "", "", "", "èbr", "2"
"", "", "", "", "éca", "2"
"", "", "", "", "égu", "2"
"", "", "", "", "èle", "2"
"", "", "", "", "elo", "2"
"", "", "", "", "elt", "2"
"", "", "", "", "emi", "2"
"", "", "", "", "ena", "2"
"", "", "", "", "éne", "2"
"", "", "", "", "enf", "2"
"", "", "", "", "eng", "2"
"", "", "", "", "erm", "2"
"", "", "", "", "ero", "2"
"", "", "", "", "esp", "2"
"", "", "", "", "eté", "2"
"", "", "", "", "eti", "2"
"", "", "", "", "éto", "2"
"", "", "", "", "étr", "2"
"", "", "", "", "ext", "2"
"", "", "", "", "fac", "2"
"", "", "", "", "fat", "2"
"", "", "", "", "fav", "2"
"", "", "", "", "fem", "2"
"", "", "", "", "fes", "2"
"", "", "", "", "fêt", "2"
"", "", "", "", "ffr", "2"
"", "", "", "", "fit", "2"
"", "", "", "", "fou", "2"
"", "", "", "", "fun", "2"
"", "", "", "", "ges", "2"
"", "", "", "", "glo", "2"
"", "", "", "", "gné", "2"
"", "", "", "", "haî", "2"
"", "", "", "", "her", "2"
"", "", "", "", "his", "2"
"", "", "", "", "hui", "2"
"", "", "", "", "iat", "2"
"", "", "", "", "ide", "2"
"", "", "", "", "iée", "2"
"", "", "", "", "imi", "2"
"", "", "", "", "iné", "2"
"", "", "", "", "ing", "2"
"", "", "", "", "inu", "2"
"", "", "", "", "ise", "2"
"", "", "", "", "isi", "2"
"", "", "", "", "ivi", "2"
"", "", "", "", "jal", "2"
"", "", "", "", "lag", "2"
"", "", "", "", "lan", "2"
"", "", "", "", "lég", "2"
"", "", "", "", "lic", "2"
"", "", "", "", "lig", "2"
"", "", "", "", "lir", "2"
"", "", "", "", "liv", "2"
"", "", "", "", "log", "2"
"", "", "", "", "lou", "2"
"", "", "", "", "mén", "2"
"", "", "", "", "mer", "2"
"", "", "", "", "mét", "2"
"", "", "", "", "mme", "2"
"", "", "", "", "mom", "2"
"", "", "", "", "nal", "2"
"", "", "", "", "nau", "2"
"", "", "", "", "nch", "2"
"", "", "", "", "nda", "2"
"", "", "", "", "née", "2"
"", "", "", "", "nim", "2"
"", "", "", "", "nta", "2"
"", "", "", "", "obj", "2"
"", "", "", "", "obs", "2"
"", "", "", "", "oie", "2"
"", "", "", "", "olt", "2"
"", "", "", "", "omb", "2"
"", "", "", "", "onc", "2"
"", "", "", "", "opi", "2"
"", "", "", "", "oré", "2"
"", "", "", "", "osé", "2"
"", "", "", "", "oss", "2"
"", "", "", "", "ous", "2"
"", "", "", "", "oyé", "2"
"", "", "", "", "pei", "2"
"", "", "", "", "pér", "2"
"", "", "", "", "phi", "2"
"", "", "", "", "pil", "2"
"", "", "", "", "prê", "2"
"", "", "", "", "ram", "2"
"", "", "", "", "ras", "2"
"", "", "", "", "réa", "2"
"", "", "", "", "rée", "2"
"", "", "", "", "ref", "2"
"", "", "", "", "réf", "2"
"", "", "", "", "rêv", "2"
"", "", "", "", "rge", "2"
"", "", "", "", "rim", "2"
"", "", "", "", "rni", "2"
"", "", "", "", "ron", "2"
"", "", "", "", "rou", "2"
"", "", "", "", "rri", "2"
"", "", "", "", "rst", "2"
"", "", "", "", "rta", "2"
"", "", "", "", "séc", "2"
"", "", "", "", "sel", "2"
"", "", "", "", "sés", "2"
"", "", "", "", "sev", "2"
"", "", "", "", "sil", "2"
"", "", "", "", "soe", "2"
"", "", "", "", "sûr", "2"
"", "", "", "", "tag", "2"
"", "", "", "", "tar", "2"
"", "", "", "", "tat", "2"
"", "", "", "", "tés", "2"
"", "", "", "", "tir", "2"
"", "", "", "", "tit", "2"
"", "", "", "", "tom", "2"
"", "", "", "", "tte", "2"
"", "", "", "", "ugu", "2"
"", "", "", "", "uit", "2"
"", "", "", "", "uri", "2"
"", "", "", "", "urs", "2"
"", "", "", "", "usa", "2"
"", "", "", "", "ust", "2"
"", "", "", "", "ute", "2"
"", "", "", "", "uti", "2"
"", "", "", "", "val", "2"
"", "", "", "", "vau", "2"
"", "", "", "", "vei", "2"
"", "", "", "", "vem", "2"
"", "", "", "", "vin", "2"
"", "", "", "", "voq", "2"
"", "", "", "", "yeu", "2"
"", "", "", "", "aça", "1"
"", "", "", "", "acq", "1"
"", "", "", "", "ada", "1"
"", "", "", "", "ade", "1"
"", "", "", "", "adn", "1"
"", "", "", "", "ado", "1"
"", "", "", "", "afi", "1"
"", "", "", "", "agg", "1"
"", "", "", "", "agi", "1"
"", "", "", "", "agn", "1"
"", "", "", "", "aib", "1"
"", "", "", "", "ajo", "1"
"", "", "", "", "alq", "1"
"", "", "", "", "aly", "1"
"", "", "", "", "ame", "1"
"", "", "", "", "âme", "1"
"", "", "", "", "amo", "1"
"", "", "", "", "amu", "1"
"", "", "", "", "anx", "1"
"", "", "", "", "apo", "1"
"", "", "", "", "aqu", "1"
"", "", "", "", "arb", "1"
"", "", "", "", "ard", "1"
"", "", "", "", "aré", "1"
"", "", "", "", "ase", "1"
"", "", "", "", "asi", "1"
"", "", "", "", "ast", "1"
"", "", "", "", "avd", "1"
"", "", "", "", "avu", "1"
"", "", "", "", "ayo", "1"
"", "", "", "", "bât", "1"
"", "", "", "", "ben", "1"
"", "", "", "", "bia", "1"
"", "", "", "", "blo", "1"
"", "", "", "", "bor", "1"
"", "", "", "", "bri", "1"
"", "", "", "", "cad", "1"
"", "", "", "", "cai", "1"
"", "", "", "", "çai", "1"
"", "", "", "", "can", "1"
"", "", "", "", "car", "1"
"", "", "", "", "cas", "1"
"", "", "", "", "caz", "1"
"", "", "", "", "céd", "1"
"", "", "", "", "cés", "1"
"", "", "", "", "chi", "1"
"", "", "", "", "chu", "1"
"", "", "", "", "cig", "1"
"", "", "", "", "cip", "1"
"", "", "", "", "cir", "1"
"", "", "", "", "civ", "1"
"", "", "", "", "cla", "1"
"", "", "", "", "clu", "1"
"", "", "", "", "coe", "1"
"", "", "", "", "cré", "1"
"", "", "", "", "crè", "1"
"", "", "", "", "cta", "1"
"", "", "", "", "cts", "1"
