"Word", "Number of occurrences"
"vin", "11"
"partisans", "11"
"fond", "11"
"différence", "11"
"chacune", "11"
"présente", "11"
"obligé", "11"
"gagner", "11"
"prisonniers", "11"
"sentiments", "11"
"indépendance", "11"
"profité", "11"
"voisins", "11"
"souvenir", "11"
"etrangères", "11"
"demain", "11"
"généreux", "11"
"avis", "11"
"parlé", "11"
"veulent", "11"
"bloc", "11"
"ligue", "11"
"texte", "11"
"habitants", "11"
"petite", "11"
"seraient", "11"
"collaborateurs", "11"
"creans", "11"
"fr", "11"
"liste", "11"
"élu", "11"
"poursuivre", "11"
"principe", "11"
"frais", "11"
"ai-je", "11"
"dépit", "11"
"associations", "11"
"comte", "11"
"essentiel", "10"
"meilleurs", "10"
"expérience", "10"
"reims", "10"
"dirigeants", "10"
"appel", "10"
"orgueil", "10"
"dois", "10"
"aurais", "10"
"ii", "10"
"énergie", "10"
"esprits", "10"
"établir", "10"
"impôts", "10"
"sommaire", "10"
"sanction", "10"
"courant", "10"
"attend", "10"
"amitié", "10"
"reconnaître", "10"
"demandé", "10"
"pires", "10"
"pouvons", "10"
"espère", "10"
"exécutif", "10"
"ouvrir", "10"
"plaisir", "10"
"dernière", "10"
"collègues", "10"
"production", "10"
"madame", "10"
"travers", "10"
"bataille", "10"
"mots", "10"
"long", "10"
"devenus", "10"
"spectacle", "10"
"droits", "10"
"malheureux", "10"
"foule", "10"
"copie", "10"
"incendie", "10"
"payer", "10"
"peur", "10"
"savons", "10"
"empêcher", "10"
"luxe", "10"
"revue", "10"
"devient", "10"
"pauvre", "10"
"inévitable", "10"
"organisée", "10"
"moitié", "10"
"pire", "10"
"loir", "10"
"projet", "10"
"maire", "10"
"maréchal", "10"
"année", "10"
"godart", "10"
"partis", "10"
"foerster", "10"
"transports", "10"
"conférences", "10"
"calomnie", "10"
"kilomètres", "10"
"automobile", "10"
"américaines", "10"
"commencé", "9"
"catastrophes", "9"
"gauche", "9"
"officielle", "9"
"comprend", "9"
"mensonges", "9"
"adresser", "9"
"revenir", "9"
"propos", "9"
"aviation", "9"
"enseignement", "9"
"histoire", "9"
"fidèles", "9"
"vraie", "9"
"luttes", "9"
"jaurès", "9"
"dis", "9"
"gloire", "9"
"quoiqu", "9"
"matières", "9"
"oublier", "9"
"prise", "9"
"abus", "9"
"devons", "9"
"faiblesse", "9"
"manquer", "9"
"tué", "9"
"chemin", "9"
"voulait", "9"
"représentant", "9"
"tenue", "9"
"atténuer", "9"
"combat", "9"
"contribué", "9"
"patrie", "9"
"pouvaient", "9"
"offensive", "9"
"majorité", "9"
"semaine", "9"
"soutenir", "9"
"trains", "9"
"artillerie", "9"
"campagnes", "9"
"régions", "9"
"barbarie", "9"
"ordinaire", "9"
"idée", "9"
"allé", "9"
"autorité", "9"
"pluie", "9"
"gros", "9"
"au-dessus", "9"
"fermes", "9"
"régulièrement", "9"
"chauvins", "9"
"socialistes", "9"
"religion", "9"
"immense", "9"
"aider", "9"
"origine", "9"
"parfois", "9"
"déception", "9"
"rédigé", "9"
"pensions", "9"
"création", "9"
"questions", "9"
"élite", "9"
"expliquer", "9"
"trouverez", "9"
"nature", "9"
"destruction", "9"
"xx", "9"
"milliers", "9"
"véritable", "9"
"pauvres", "9"
"instruction", "9"
"présence", "9"
"commun", "9"
"lu", "9"
"simplement", "9"
"disparaître", "9"
"précautions", "9"
"ruine", "9"
"appelle", "9"
"concurrence", "9"
"relativement", "9"
"perdre", "9"
"députés", "9"
"belle", "9"
"roi", "9"
"coeur", "9"
"juin", "9"
"air", "9"
"réunions", "9"
"apr", "9"
"mission", "9"
"senlis", "9"
"autriche", "9"
"faillite", "9"
"défendre", "9"
"trustees", "9"
"souffrances", "9"
"républicain", "9"
"(sarthe)", "9"
"françaises", "9"
"réfugiés", "9"
"but", "8"
"salut", "8"
"ennemi", "8"
"auraient", "8"
"essayé", "8"
"anciens", "8"
"représente", "8"
"accueil", "8"
"utile", "8"
"eût", "8"
"problème", "8"
"illusion", "8"
"partir", "8"
"porte", "8"
"charles", "8"
"napoléon", "8"
"excès", "8"
"ambition", "8"
"doux", "8"
"berlin", "8"
"george", "8"
"autrement", "8"
"sûr", "8"
"langue", "8"
"manifestations", "8"
"responsabilités", "8"
"grave", "8"
"normale", "8"
"condamné", "8"
"ouvertement", "8"
"vouloir", "8"
"malheur", "8"
"territoire", "8"
"oui", "8"
"hanotaux", "8"
"seconde", "8"
"chefs", "8"
"leçon", "8"
"pourront", "8"
"nécessité", "8"
"vivant", "8"
"semaines", "8"
"verdun", "8"
"paie", "8"
